Provinsi,Kota/Kabupaten,Kecamatan
LAMPUNG,BANDAR LAMPUNG,TANJUNG KARANG
LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG
KALIMANTAN BARAT,PONTIANAK,PONTIANAK KOTA
KALIMANTAN BARAT,PONTIANAK,PONTIANAK SELATAN
KALIMANTAN TIMUR,SAMARINDA,SAMARINDA KOTA
KALIMANTAN TIMUR,SAMARINDA,SAMARINDA SEBERANG
KALIMANTAN SELATAN,BANJARMASIN,BANJARMASIN TENGAH
KALIMANTAN SELATAN,BANJARMASIN,BANJARMASIN SELATAN
SULAWESI SELATAN,MAKASSAR,MAKASSAR
SULAWESI SELATAN,MAKASSAR,PANAKKUKANG
SULAWESI SELATAN,MAKASSAR,TAMALANREA
SULAWESI UTARA,MANADO,MANADO CITY
BALI,DENPASAR,DENPASAR SELATAN
BALI,DENPASAR,DENPASAR TIMUR
BALI,DENPASAR,DENPASAR BARAT
NTB,LOMBOK,AMPE NAN A
PAPUA,JAYAPURA,JAYAPURA SELATAN
